Kood,Vanem,Tegevusala tekst,SIIA  KUULUB,SIIA KUULUB VEEL,SIIA EI KUULU,ERIALALIIDUD,ON ERINÕUDEID?
01141,0114,Suhkrurookasvatus (v.a suhkrupeet),"Siia kuulub ühe-, kahe-ja mitmeaastane suhkrurookasvatus (v.a suhkrupeet).",,"suhkrupeedikasvatus, vt 01131",,EI
0115,011,Tubakakasvatus,Siia kuulub ka kahe-ja mitmeaastane tubakakasvatus.,,,,EI
01151,0115,Tubakakasvatus,"Siia kuulub ühe-, kahe-ja mitmeaastane tubakakasvatus.",,"tubakatoodete tootmine, vt 12001",,EI
0116,011,Kiutaimekasvatus,Siia kuulub ka kahe-ja mitmeaastane kiutaimekasvatus.,,,,EI
01161,0116,Kiutaimekasvatus,"Siia kuulub ühe-, kahe-ja mitmeaastane kiutaimekasvatus 

− puuvillapõõsa kasvatus
− džuudi, kanephibiski jm niintekstiilkiu kasvatus 
− lina ja hariliku kanepi kasvatus
− sisalagaavi ja muude agaavide perekonda kuuluvate tekstiilkiudude kasvatus
− kiubanaani (abaca), ramjee jm taimsete tekstiilkiudude kasvatus
− muude kiutaimede kasvatus",,,,EI
0119,011,Muude põllukultuuride kasvatus,"Siia kuulub ühe-, kahe- ja mitmeaastaste mitte puiste vartega muude põllukultuuride kasvatus.",,,,JAH
01191,0119,Lillekasvatus,"− lillekasvatus
− lõikelillede ja õienuppude kasvatus
− lilleseemnete kasvatus",,"üheaastaste vürtsi-, maitse-, uimastavate ja ravimtaimede kasvatus, vt 01281; lilleistikute kasvatus, vt 01301",,JAH
01199,0119,Söödakultuuri- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus,"Siia kuulub ühe-, kahe- ja mitmeaastaste söödakultuuri- ja heintaimekasvatus jm sarnaste põllukultuuride kasvatus
− söödakaalika, -peedi jm söödajuurviljade, ristiku, lutserni, esparseti, söödamaisi jm kõrreliste heintaimede, söödakapsa ja sarnaste söödakultuuride kasvatus 
− tatrakasvatus 
− peediseemnete (v.a suhkrupeediseemned) ja söödataimeseemnete kasvatus","− loomasöödaks mõeldud kultuuride kasvatus
− silo valmistamine","üheaastaste vürtsi-, maitse-, uimastavate ja ravimtaimede kasvatus, vt 01281",,JAH
012,01,Mitmeaastaste taimede kasvatus,"Siia gruppi kuulub mitmeaastaste, st kauem kui kaks kasvuperioodi kasvavate taimede kasvatus, k.a seemnete tootmiseks. Siia gruppi kuuluvad peamiselt puiste varte ning tüvedega mitmeaastased puud, põõsad ja marjakultuurid.",,,,EI
0121,012,Viinamarjakasvatus,,,,,EI
01211,0121,Viinamarjakasvatus,− veini- ja lauaviinamarjade kasvatamine viinapuuistandustes,,"veini tootmine, vt 11021",,EI
0122,012,Troopiliste ja subtroopiliste viljade kasvatus,,,,,JAH
01221,0122,Troopiliste ja subtroopiliste viljade kasvatus,"− troopiliste ja subtroopiliste viljade kasvatus (nt avokaado, banaan ja jahubanaan, dattel, viigimari, mango, papaia, ananass jm troopilised ja subtroopilised viljad)",,,,JAH
0123,012,Tsitruseliste kasvatus,,,,,JAH
01231,0123,Tsitruseliste kasvatus,"− tsitruseliste kasvatus (nt greipfruut ja pomelo, sidrun ja laim, apelsin, tangeriin, mandariin ja klementiin jm tsitruselised)",,,,JAH
0124,012,Õun- ja luuviljaliste puuviljade kasvatus,,,,,JAH
01241,0124,Õun- ja luuviljaliste puuviljade kasvatus,"− õun-ja luuviljaliste puuviljade kasvatus (nt õun, aprikoos, kirss ja hapukirss e murel, virsik, nektariin, pirn, küdoonia, ploom ja laukaploom)
− muude õun-ja luuviljaliste puuviljade kasvatus",,,,JAH
0125,012,"Muu puuvilja-, marja- ning pähklikasvatus",,,,,JAH
01251,0125,"Muu puuvilja-, marja- ning pähklikasvatus","− marjade kasvatus (nt mustikas, sõstar, karusmari, kiivi, vaarikas, maasikas jm marjad)
− puuviljaseemnete kasvatus
− söödavate pähklite kasvatus (nt mandel, kašupähkel e akažuu, kastan, sarapuu-, pistaatsia- ja kreeka pähkel jm pähklid)
− muude puudel ja põõsastel kasvavate viljade kasvatus (nt akaatsiakaunad)","− astelpaju kasvatus
− söödavate marjadega kuslapuu kasvatus, kultuurmarjade kasvatus (mustikas, vaarikas, jõhvikas, pampel, pohl jms)","kookospähklite kasvatus, vt 01261",,JAH
0126,012,Õlitaimekasvatus,,,"õlitaimeseemnete kasvatus, vt 01111",,EI
01261,0126,Õlitaimekasvatus,"− õlitaimede kasvatus (nt kookospähkel, oliivid, õlipalmid jm õlitaimed)",,"sojaubade, maapähklite ja muude õlitaimede seemnete kasvatus, vt 01111",,EI
0127,012,Joogitaimekasvatus,,,,,EI
01271,0127,Joogitaimekasvatus,"− joogitaimekasvatus (nt teepõõsas, kohvi-, kakao- ja matepuu jm joogitaimed)",,,,EI
0128,012,"Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus","Siia alla kuulub ka ühe-ja kaheaastaste vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus.",,,,EI
01281,0128,"Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus","Siia alla kuulub ka ühe-ja kaheaastaste vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus.

− ühe- ja mitmeaastaste vürtsi- ja maitsetaimede kasvatus (nt pipar (piper sop.), tšillipipar, vürtspaprika (capsicum sop.), muskaatpähkel, muskaatõis, kardemon, aniis, tähtaniis, apteegitill, kaneel, nelk, ingver, vanill, humal jm vürtsi- ja maitsetaimed)
− uimastavate ja narkootiliste taimede kasvatus
− farmaatsia- ja parfümeeriatööstuses kasutatavate taimede kasvatamine","− põhiliselt insektitsiididena, fungitsiididena jm kasutatavate taimede kasvatus",,,EI
0129,012,Muude mitmeaastaste taimede kasvatus,,,,,EI
01291,0129,Muude mitmeaastaste taimede kasvatus,"− kummipuukasvatus lateksi varumiseks
− jõulupuude kasvatus
− puude kasvatus mahla kogumiseks
− põhiliselt punutisteks kasutatava taimse materjali kasvatamine",,"lillekasvatus, lõikelillede ja õienuppude ning lilleseemnete kasvatus, vt 01191
puumahla ja kummitaolise vaigu kogumine looduses, vt 02301",,EI
013,01,Taimede paljundamine,,,,,EI
0130,013,Taimede paljundamine,,,,,JAH
01301,0130,Taimede paljundamine ja istikukasvatus,"Taimekasvatus paljundamise eesmärgil, istutusmaterjali kasvatamine: elustaimed, sibulad, mugulad ja juured, juurevõsud, seemikud, pistikud ja pookoksad.

− istikukasvatus, sh ilutaimeistikute kasvatus, k.a siirdmuru kasvatus
− pistikute, pookokste ning seeneniidistiku kasvatus
− puukoolide tegevus, v.a metsapuid kasvatavad puukoolid        
− maasikataimede ja marjapõõsaste ettekasvatus
− taimekasvatus mugulate, sibulate ja juurte paljundamise eesmärgil","− murumätta (mattide) kasvatus ümberistutamiseks
− biokatuse (murumätas) kattematerjali (tootmine) kasvatamine","metsapuid kasvatavate puukoolide tegevus, vt 02101
taimede kasvatamine seemnete tootmise eesmärgil, vt 011, 012",,JAH
014,01,Loomakasvatus,Siia gruppi kuulub kõikide loomade (v.a veeloomade) kasvatus ja aretus.,,"farmiloomade hooldamine ja talitamine, vt 01621
nahkade tootmine tapamajades, vt 10111",,EI
0141,014,Piimakarjakasvatus,,,,,JAH
01411,0141,Piimakarjakasvatus,"− piimakarja kasvatus ja aretus
− lehma ja pühvli toorpiima tootmine",− koduloomade vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine,"piima töötlemine, vt 10511",,JAH
0142,014,Muu veislaste ja pühvlikasvatus,,,,,JAH
01421,0142,Muu veislaste ja pühvlikasvatus,"− veiste ning pühvlite kasvatus ja aretus 
− pullisperma tootmine","− vasikakasvatus
− koduloomade vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine",,,JAH
0143,014,Hobusekasvatus ja muude hobuslaste kasvatus,,,,,JAH
01431,0143,Hobusekasvatus ja muude hobuslaste kasvatus,"− hobuste, muulade, eeslite ning hobueeslite kasvatus ja aretus",− koduloomade vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine,"Võistlus- ja ratsahobuste tallide tegevus, vt 93199",,JAH
0144,014,Kaamelikasvatus,,,,,JAH
01441,0144,Kaamelikasvatus,− kaamelite (dromedaride) kasvatus ja aretus,,,,JAH
0145,014,Lamba- ja kitsekasvatus,,,,,JAH
01451,0145,Lamba- ja kitsekasvatus,"− lammaste ja kitsede kasvatus ja aretus
− lamba või kitse toorpiima tootmine
− toorvilla tootmine",− koduloomade vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine,"lammaste pügamine tasu eest või lepingu alusel, vt 01621
kitkutud toorvilla (kitkevilla) tootmine, vt 10111
piima töötlemine, vt 10511",,JAH
0146,014,Seakasvatus,,,,,JAH
01461,0146,Seakasvatus,,− koduloomade vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud sõnniku tootmine,,,JAH
0147,014,Kodulinnukasvatus,,,,,JAH
01471,0147,Kodulinnukasvatus,"− kodulindude (nt kalkunid, pardid, haned, kanad ja pärlkanad) kasvatus ja aretus
− munade tootmine
− kodulindude haudejaamade tegevus",− kodulindude vedelatest ja tahketest väljaheitetest või nende segudest koos allapanuga tekkinud jääte tootmine,"sulgede või udusulgede tootmine, vt 10121",,JAH
0149,014,Muu loomakasvatus,,,,,JAH
01491,0149,Mesindus,− mesilaste pidamine ning mee ja mesilasvaha tootmine,,,,JAH
01499,0149,Muu loomakasvatus,"− poolkodustatud või teiste elusloomade kasvatus ja aretus (nt jaanalinnud, emud jm muud linnud, v.a kodulinnud; putukad, küülikud jm karusloomad) 
− karusnaha, mao- või linnunaha tootmine kasvandustes
− maismaalimuste, vihmaussi-, teo- jms farmide tegevus
− siidiussikasvatus, siidiussikookonite tootmine
− lemmikloomade (v.a kalad) kasvatus ja aretus (nt kassid ja koerad, linnud, hamstrid jne) 
− mitmesuguste muude loomade kasvatus","− metsalindude kasvatus, nt faasanid jms","toornaha tootmine jahipidamise ja küttimise teel, vt 01701
konnade, krokodillide, hulkharjasusside kasvanduste tegevus, vt 03211, 03221
kalakasvanduste tegevus, vt 03211, 03221
lemmikloomade hooldamine ja koolitus, vt 96091
kodulindude kasvatus ja aretus, vt 01471",,JAH
015,01,Segapõllumajandus,,,,,EI
0150,015,Segapõllumajandus,,,,,JAH
01501,0150,Segapõllumajandus,"Siia kuulub taimekasvatusega kombineeritud loomakasvatus, st tootmine ei ole spetsialiseeritud kummalegi tegevusalale. Põllumajandusliku üksuse suurus ei ole määrav tegur. Kui taimekasvatuse või loomakasvatuse toodang moodustab standardsest brutomarginaalist 66% või enam, siis ei kuulu üksus segapõllumajanduse alla, vaid tuleb liigitada kas taime- või loomakasvatuse alla.",,"taimekasvatus, vt 011, 012
loomakasvatus, vt 014",,JAH
016,01,Põllumajandust abistavad tegevusalad ja saagikoristusjärgsed tegevused,"Tasu eest või lepingu alusel tehtavad põllumajandusliku tootmisega seotud kõrvaltegevused ja põllumajandusega sarnased tegevused, mille eesmärgiks ei ole tootmine (st põllumajandustoodang). Siia kuulub saagi ettevalmistamine esmaseks turustamiseks.",,,,EI
0161,016,Taimekasvatuse abitegevused,,,,,JAH
01611,0161,Taimekasvatuse abitegevused,"− põllumajanduslik tegevus tasu eest või lepingu alusel (nt põldude ettevalmistamine, põllukultuuride külvamine ja harimine, riisi istutamine, peedi harvendamine, põllukultuuride pritsimine, k.a lennukitelt, kahjurite (k.a jäneste) tõrje, vilja- ja viinapuude lõikamine, saagikoristus jne) 
− põllumajandusmaa hooldus hea põllumajandusliku ja keskkondliku seisundi säilitamiseks
− niisutussüsteemide käitus
− taimekasvatuses kasutatavate põllutöömasinate rentimine koos operaatoriga (teenindava personaliga)","− muud taimekasvatust teenindavad tegevusalad
− puisniitude hooldus","saagikoristusjärgsed tegevused, vt 01631
põllumajandusmaa dreenimine, vt 43122
maastikuarhitektuur, vt 71111
agronoomide ja põllumajandusökonomistide tegevus, vt 74901
maastikukujundus ja haljastus, vt 81301
põllumajandusnäituste ja -messide korraldamine, vt 82301",,JAH
0162,016,Loomakasvatuse abitegevused,,,,,JAH
01621,0162,Loomakasvatuse abitegevused,"− põllumajanduslik tegevus tasu eest või lepingu alusel (nt loomade sigimist, kasvu ja tootlust soodustavad tegevusalad, kunstliku seemendamisega seotud teenused, farmiloomade hooldamine ja talitamine, karjakontroll, karjamaade rentimine teistele loomapidajatele, lindude kohitsemine, puuride puhastamine jne, lammaste pügamine, hobustega seotud teenused) 
− hobuserautajate tegevus","− põllumajanduses kasutatav tehnika rentimine koos operaatoriga
− munade sorteerimine
− värkimine","ruumide rentimine ainult loomade hooldamiseks ja talitamiseks, vt 68201
veterinaaria, vt 75001
loomade vaktsineerimine, vt 75001
loomade (nt härgade) rentimine, vt 77399
lemmikloomade hooldamine ja talitamine, vt 96091",,JAH
0163,016,Saagikoristusjärgsed tegevused,,,,,JAH
01631,0163,Saagikoristusjärgsed tegevused,"− saagi ettevalmistamine esmaseks turustamiseks, st puhastamine, korrastamine, sortimine, desinfitseerimine
− puuvilla puhastamine
− tubakalehtede ettevalmistamine, nt kuivatamine
− kakaoubade ettevalmistamine, nt kestade eemaldamine
− puuviljade vahatamine","− viljakuivatite tegevus
− viljakuivatus ja -tuulutamine
− kultuurmarjade (aiamarjad) puhastamine
− pressitud õle tootmine (põllul)","põllumajandustoodete ettevalmistamine tootja poolt, vt 011, 012, 013
saagikoristusjärgsed tegevused, mille eesmärgiks on seemnete idanevuse parandamine, vt 01641
tubakalehtede rootsudest puhastamine ja kuivatamine, vt 12001
vahendajate ja ühistute turundustegevus, vt 46
põllumajandustoorme hulgimüük, vt 462",,JAH
0164,016,Seemnete töötlemine paljundamiseks,,,,,JAH
01641,0164,Seemnete töötlemine paljundamiseks,"Seemnete kvaliteedi ja idanevuse parandamine: kõrvalise ainese, alamõõduliste, mehaaniliselt või putukate poolt kahjustatud ning mitteküpsete seemnete eemaldamine ning turvaliseks säilitamiseks niiskuse eemaldamine. Tegevusala hõlmab seemnete kuivatamise, puhastamise, sortimise ja töötlemise kuni turustamiseni. Siia kuulub ka geneetiliselt muundatud seemnete töötlemine.",,"seemnekasvatus, vt grupp 011, 012
seemnete töötlemine õli saamiseks, vt 10411
uute sortide aretamiseks või uuendamiseks tehtavad teadusuuringud, vt 72111",,JAH
017,01,Jahindus ja seda teenindavad tegevusalad,,,,,EI
0170,017,Jahindus ja seda teenindavad tegevusalad,,,,,JAH
01701,0170,Jahindus ja seda teenindavad tegevusalad,"− loomade küttimine ja püüdmine ärilistel eesmärkidel
− loomade küttimine ja püüdmine toiduks, naha ja karusnaha saamiseks, teadusuuringuteks, loomaaedadele või lemmikloomadeks
− karusnaha, mao- või linnunaha saamine küttimise teel
− mereimetajate püük, nt morsa- ja hülgepüük",,"karusnaha, mao- või linnunaha tootmine kasvandustes, vt 01499
ulukikasvatus kasvandustes, vt 014
vaalapüük, vt 03111
nahkade tootmine tapamajades, vt 101
sportlik või meelelahutuslik jahipidamine, vt 93192
jahinduse ja küttimise edendamist teenindavad tegevusalad, vt 9499",,JAH
02,A,Metsamajandus ja metsavarumine,"Osa 02 hõlmab ümarpuidu tootmist ning muude metsasaaduste kogumist ja korjamist looduslikes ja istutatud metsades. Peale metsamaterjali tootmise on metsamajanduse väljundiks ka vähese töötlusega tooted, nagu küttepuud, töötlemata kujul kasutatav ümarpuit (nt propsid, paberipuit jms).",,"puidu edasine töötlemine alates palkide saagimisest ja hööveldamisest, vt 16.",,EI
021,02,Metsakasvatus ja muud metsamajanduse tegevusalad,,,,Eesti Metsa- ja Puidutööstuse Liit,EI
0210,021,Metsakasvatus ja muud metsamajanduse tegevusalad,,,,,JAH
02101,0210,Metsakasvatus ja muud metsamajanduse tegevusalad,"− metsakasvatus: metsa istutamine, ümberistutamine, taastamine ja harvendamine ning metsade ja metsaveoteede hooldus
− võsa, paberipuu ja küttepuude kasvatus 
− metsapuid kasvatavate puukoolide tegevus",− metsapuude seemnete kasvatus,,,JAH
022,02,Metsavarumine,,,,Eesti Metsa- ja Puidutööstuse Liit,EI
0220,022,Metsavarumine,,,,,JAH
02201,0220,Metsaraie,"Metsavarumise väljundiks on tavaliselt palgid ja muu viimistlemata puitmaterjal.
− ümarpuidu tootmine metsatöötlemisettevõtetele
− viimistlemata puitmaterjali, nt propside, lõhestatud tulpade tootmine","− liinialuste sihtide raie
− elektriliini, raudtee jms kaitsevööndite puhastusraie
− võsaraie
− metsalangetamine","jõulupuude kasvatus, vt 01291
metsakasvatus: metsa istutamine, ümberistutamine, taastamine ja harvendamine ning metsade ja metsaveoteede hooldus, vt 02101
muude metsasaaduste (v.a puit) kogumine, vt 02301
puitlaastude tootmine, vt 16109
puidusöe tootmine puidu destilleerimise teel, vt 20141",,JAH
02202,0220,Küttepuude tootmine,"− küttepuidu kogumine ja tootmine
− metsavarumisjääkide kogumine ja tootmine kütteks",− Puude lõhkumise teenuse osutamine,,,EI
023,02,"Looduslike materjalide kogumine, v.a puit",,,,,EI
0230,023,"Looduslike materjalide kogumine, v.a puit",,,,,JAH
02301,0230,"Looduslike materjalide kogumine, v.a puit","− loodussaaduste kogumine (nt metsaseened, trühvlid, marjad, pähklid, balaata ja teised kummitaolised vaigud, kork, šellak ja vaigud, palsamid, taimne vill, merihein, tammetõrud, hobukastanid, sammal ja samblikud)","− ravimtaimede kogumine
− pilliroo kogumine
− puumahlade kogumine  
− metsamarjade puhastamine","kõikide nimetatud toodete kasvatamine (v.a korgipuude kasvatus), vt 01
seente või trühvlite kasvatamine, vt 01131
marjade või pähklite kasvatamine, vt 01251
küttepuude kogumine, vt 02202
puitlaastude tootmine, vt 16109",,JAH
024,02,Metsamajandust abistavad tegevused,,,,,EI
0240,024,Metsamajandust abistavad tegevused,,,,,EI
02401,0240,Metsamajandust abistavad tegevused,"− tasu eest või lepingu alusel tehtavad metsamajandusega seotud alltegevused
− metsamajandust teenindavad tegevusalad:
− metsa inventeerimine
− metsamajanduse konsultatsiooniteenused
− puidu hindamine
− metsa tuleohutuse tagamine ja kaitse
− metsakahjurite tõrje
− metsavarumist teenindavad tegevusalad:
− palgivedu metsa piires
− metsatöötlusmasinate rentimine koos juhiga","− puude laasimine, koorimine
− metsloomade söödakohtade rajamine ja hooldamine","metsapuid kasvatavate puukoolide tegevus, vt 02101
metsamaa dreenimine, vt 43122
ehitusplatsidelt taimestiku eemaldamine, vt 43121",,EI
03,A,Kalapüük ja vesiviljelus,"Osa 03 hõlmab kala, vähilaadsete, limuste ja muude meresaaduste (nt veetaimed, pärlid, käsnad jne) püüki või kogumist merevee-, riimvee- või mageveekeskkonnas. Siia kuulub ka tavaliselt tootmisprotsessi integreeruv tegevus oma tarbeks/oma kulul (nt võõrkeha viimine austrikarpi pärlite tootmiseks). Mere- ja magevee kalapüüki ning vesiviljelust teenindavad tegevusalad kuuluvad vastavalt kalapüügi või vesiviljeluse alla",,"paatide ehitus ja remont, vt 301, 3315
sportlik või meelelahutuslik kalapüük, vt 93192
kala, vähilaadsete ja limuste töötlus maismaatehastes ja tehaslaevadel, vt 10201",Eesti Kalaliit,EI
031,03,Kalapüük,"Elusate veeorganismide (peamiselt kala, limused ja vähilaadsed) ja taimede püüdmine, korjamine või kogumine ookeani-, ranniku- või sisevetest inimtoiduks ja muuks otstarbeks käsitsi või erinevate kalapüügivahenditega (nt võrgud, liinid ja mõrrad). Püük võib toimuda padumere rannikul (nt rannakarpide, austrite jm limuste korjamine), kaldale kinnitatud võrkudega, iseehitatud alustelt või kalapüügilaevadelt sisevetel, rannikuvetes või avamerel. Siia kuulub kalastamine taasasustatud veekogudel.",,,,EI
0311,031,Merekalapüük,,,,,JAH
03111,0311,Merekalapüük,"− kaubanduslik kalapüük ookeanil ja rannikuvetes 
− vaalapüük
− vähilaadsete ja limuste püük merest
− mereloomade püüdmine (nt kilpkonnad, merituped e meripurad, mantelloomad, merisiilikud jne)
− kala püüdmise, töötlemise ja säilitamisega tegelevad laevad
− muude mereandide kogumine (nt looduslikud pärlid, käsnad, korallid ja vetikad)",,"mereimetajate (nt morsad, hülged) küttimine, v.a vaalapüük, vt 01701
vaalade töötlemine tehaslaevadel, vt 10111
kala, vähilaadsete ja limuste töötlemine maismaatehastes või tehaslaevadel, vt 10201
lõbusõidulaevade ja rannasõidupaatide rentimine koos meeskonnaga (nt kalastusretkedeks), vt 50101
kalavarude inspekteerimine, kaitse- ja patrullteenused, vt 84242
sportlik ja meelelahutuslik kalapüük ja sellega seotud tegevused, vt 93192
püügialade käitus sportlikuks kalapüügiks, vt 93192",,JAH
0312,031,Mageveekalapüük,,,,,JAH
03121,0312,Mageveekalapüük,"− kaubanduslik kalapüük siseveekogudel
− vähilaadsete ja limuste püük mageveekogudest
− mageveeloomade püüdmine, mageveematerjalide kogumine",,"kalade, vähilaadsete ja limuste töötlemine, vt 10201
kalavarude inspekteerimine, kaitse ja patrullteenused, vt 84242
sportlik ja meelelahutuslik kalapüük ja sellega seotud tegevusalad, vt 93192
sportliku kalapüügialade käitus, vt 93192",,JAH
032,03,Vesiviljelus,"Vesiviljelus (vesifarmindus) hõlmab veeorganismide (taimed, limused, kalad, vähid, krokodillid, kahepaiksed jne) viljeluse/kasvatuse (k.a saagi kogumine) kasutades tehnoloogiaid, mis suurendavad nende loomulikku kasvu ja tootlikkust (nt varude pidev täiendamine, toitmine ja kaitse kiskjate eest). 
Seega tähendab viljelus/kasvatus veeorganismide üleskasvatamist kaitsvates tingimustes juveniilse ja/või täiskasvanud elufaasini. Lisaks hõlmab vesiviljelus ka üksikute organismide eraviisilise, korporatiivse või riikliku omamise nende üleskasvatamise või kasvuperioodi jooksul ning saagi kogumise.",,,,EI
0321,032,Mere-vesiviljelus,,,,,JAH
03211,0321,Mere-vesiviljelus,"− kalakasvatus merevees, k.a dekoratiiv-merekalade kasvatus
− molluskite/karpide, nt austrikarpide kudu, homaaride, krevetivastsete, kalamaimude tootmine
− punavetikate jm söödavate meretaimede kasvatus
− vähkide, karpide, muude limuste ja teiste veeloomade kasvatamine merevees
− vesiviljelustegevused riimvees
− vesiviljelustegevused soolase veega mahutites või reservuaarides
− kalahaudejaamade (merekalad) tegevus 
− hulkharjasussifarmide tegevus",,"konnakasvatus, vt 03221
sportliku kalapüügialade käitus, vt 93192",,JAH
0322,032,Magevee-vesiviljelus,,,,,JAH
03221,0322,Magevee-vesiviljelus,"− kalakasvatus magevees, k.a dekoratiiv-mageveekalade kasvatus
− vähkide, karpide, muude limuste ja teiste veeloomade kasvatamine magevees
− kalahaudejaamade (mageveekalad) tegevus 
− konnakasvatus",− vees elavate roomajate ja konnade kasvatus basseinides,"vesiviljelustegevused soolase veega mahutites või reservuaarides, vt 03211
püügialade käitus sportlikuks kalapüügiks, vt 93192",,JAH
